"학교구분","학교구분(세부)","성별","학년","학교소재지","학교소재지(지역규모)","1)평일여가시간(시간)","1)평일여가시간(분)","1)평일독서시간(시간)","1)평일독서시간(분)","2)주말독서시간(시간)","2)주말독서시간(분)","평소책일읽는빈도","전년대비독서시간변화","독서장애요인1","독서장애요인2","독서의도움정도","1)종이책연간독서량","2)전자책연간독서량","본인의독서량평가","독서목적1","독서목적2","독서의계기1","독서의계기2","독서장소1","독서장소2","도서선택시이용정보1","도서선택시이용정보2","도서선택시도움을받는사람1","도서선택시도움을받는사람2","도서입수경로1","도서입수경로2","1)초등학생독서분야선호도1","1)초등학생독서분야선호도2","1)초등학생독서분야선호도3","2)중고등학생독서분야선호도1","2)중고등학생독서분야선호도2","2)중고등학생독서분야선호도3","1)종이책연간구입권수","1)종이책연간구입비","2)전자책연간구입권수","2)전자책연간구입비","가정의독서권장","독서대화","부모님독서권유","선생님독서권유","아침독서시간여부","1)1주일평균아침독서실시횟수","2)1회평균아침독서시간","아침독서도움여부","아침독서희망여부","독서지도방법1","독서지도방법2","독서지도방법3","독서지도방법4","독서지도방법5","독서지도방법6","독서지도방법7","독서지도방법8","학교도서관이용여부","학교도서관이용횟수","학교도서관이용이유","공공도서관이용경험","주로이용하는공공도서관의종류1","주로이용하는공공도서관의종류2","공공도서관이용이유","공공도서관비이용이유","독서프로그램실시여부","독서프로그램참여경험","참여해본독서프로그램1","참여해본독서프로그램2","참여해본독서프로그램3","참여해본독서프로그램4","참여해본독서프로그램5","참여해본독서프로그램6","참여해본독서프로그램7","참여해본독서프로그램8","참여해본독서프로그램9","참여해본독서프로그램10","참여해본독서프로그램11","참여해본독서프로그램12","참여해본독서프로그램13","참여해본독서프로그램만족도","독서프로그램비참여이유","참여희망독서프로그램1","참여희망독서프로그램2","참여희망독서프로그램3","참여희망독서프로그램4","참여희망독서프로그램5","참여희망독서프로그램6","참여희망독서프로그램7","참여희망독서프로그램8","참여희망독서프로그램9","참여희망독서프로그램10","참여희망독서프로그램11","참여희망독서프로그램12","참여희망독서프로그램13","독서동아리참여경험","참여해본독서동아리1","참여해본독서동아리2","참여해본독서동아리3","참여해본독서동아리4","참여해본독서동아리5","참여해본독서동아리6","참여해본독서동아리만족도","독서동아리비참여이유","참여희망독서동아리1","참여희망독서동아리2","참여희망독서동아리3","참여희망독서동아리4","참여희망독서동아리5","참여희망독서동아리6","1)학교도서관(도서실)을편하게이용할수있으면좋겠다","2)학급문고에책이많으면좋겠다","3)좋은책에대한소개와정보를주면좋겠다","4)독서방법,독후감쓰기등에대한교육이있으면좋겠다","5)다양한독서관련행사가있으면좋겠다","6)독서시간을늘리면좋겠다","7)책과관련된대화를나누면좋겠다","8)평소책읽는모습을보여주면좋겠다","9)책을더많이사주면좋겠다","10)도서관과서점을부모님과함께이용하면좋겠다","가중치"
1,1,1,6,16,2,1,0,0,0,1,20,2,3,2,1,2,87.0,11,4,1,4,9,1,1,3,5,3,3,4,7,5,6,7,5,,,,6,47800,0,0,2,3,1,1,1,3,20,1,,2,4,,,,,,,1,2,2,1,1,2,1,,1,1,1,4,5,6,7,,,,,,,,,2,,7,11,,,,,,,,,,,,2,,,,,,,,4,1,,,,,,3,3,1,3,1,2,3,3,1,1,1.211757
1,1,1,6,16,2,1,0,0,10,0,30,1,4,1,5,2,300.0,2,1,1,9,8,9,1,8,1,5,3,4,1,2,2,9,6,,,,30,300000,0,0,1,4,2,4,1,3,20,3,,1,2,4,8,,,,,1,1,2,1,1,2,1,,1,1,4,5,6,,,,,,,,,,,3,,4,,,,,,,,,,,,,2,,,,,,,,3,1,,,,,,4,3,2,4,5,2,2,4,3,5,1.211757
1,1,1,6,16,2,1,0,0,30,0,30,2,2,2,6,2,20.0,0,2,1,4,1,4,1,3,3,6,1,3,2,4,5,6,12,,,,2,19800,,,2,4,2,3,1,3,20,2,,2,4,5,,,,,,1,2,2,1,2,3,1,,1,1,4,,,,,,,,,,,,,3,,4,,,,,,,,,,,,,1,1,,,,,,3,,1,,,,,,3,2,1,1,2,5,3,4,1,1,1.211757
1,1,1,6,16,2,1,10,0,40,1,0,2,2,1,6,2,40.0,0,3,1,5,1,3,1,2,1,5,1,3,5,7,7,12,2,,,,0,0,,,1,3,1,2,1,3,20,2,,1,2,4,5,,,,,1,3,2,1,2,1,5,,1,1,1,2,4,5,6,,,,,,,,,2,,1,4,9,,,,,,,,,,,2,,,,,,,,4,1,,,,,,3,2,2,3,2,3,2,2,2,2,1.211757
1,1,1,6,16,2,1,30,0,20,0,10,2,3,4,1,2,60.0,0,3,6,1,1,4,1,2,12,1,6,3,2,7,15,2,6,,,,0,0,,,1,3,2,2,1,3,20,4,,1,2,4,5,,,,,1,2,2,1,1,2,1,,1,1,4,5,,,,,,,,,,,,3,,11,,,,,,,,,,,,,2,,,,,,,,4,1,,,,,,2,2,3,3,4,3,3,3,1,2,1.211757
1,1,1,6,16,2,2,0,0,0,0,0,5,3,2,4,4,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,4,5,5,3,1,3,20,5,,7,,,,,,,,2,,,2,,,,14,1,1,4,,,,,,,,,,,,,5,,9,,,,,,,,,,,,,2,,,,,,,,1,6,,,,,,5,5,5,5,5,5,5,5,5,5,1.211757
1,1,1,6,16,2,2,0,0,25,0,0,2,3,1,5,3,45.0,0,3,6,1,1,4,1,3,5,10,5,3,2,4,12,6,5,,,,5,20000,,,2,4,3,3,1,3,20,4,,1,2,5,,,,,,1,3,1,1,2,1,1,,1,2,,,,,,,,,,,,,,,4,1,10,11,,,,,,,,,,,2,,,,,,,,4,3,,,,,,3,4,3,4,2,4,3,4,5,3,1.211757
1,1,1,6,16,2,2,0,1,0,2,0,2,2,2,1,2,50.0,0,2,1,3,1,3,1,2,1,5,3,1,5,2,2,5,11,,,,0,0,,,2,3,2,1,1,3,20,2,,2,4,,,,,,,1,3,2,1,1,2,1,,1,1,4,5,,,,,,,,,,,,2,,7,12,,,,,,,,,,,,2,,,,,,,,9,1,,,,,,3,2,2,4,3,3,4,4,4,4,1.211757
1,1,1,6,16,2,3,0,2,0,3,0,1,3,6,1,2,120.0,0,2,1,3,4,1,8,1,1,8,5,3,4,5,15,11,7,,,,0,0,,,4,4,1,3,1,3,20,2,,2,3,4,5,,,,,1,1,2,1,2,1,1,,1,1,5,4,6,,,,,,,,,,,3,,7,,,,,,,,,,,,,1,1,,,,,,2,,1,,,,,,1,1,3,3,3,2,3,2,3,3,1.211757
1,1,1,6,16,2,3,0,99,99,99,99,3,4,2,4,2,20.0,0,5,3,9,1,4,1,3,12,5,5,3,1,5,15,12,5,,,,1,10000,,,2,2,1,1,1,3,20,3,,2,4,5,,,,,,1,4,3,1,1,3,1,,1,1,2,4,6,,,,,,,,,,,3,,11,,,,,,,,,,,,,2,,,,,,,,1,4,,,,,,4,2,4,5,5,5,5,5,5,5,1.211757
1,1,1,6,16,2,4,0,1,0,1,30,2,3,1,4,1,150.0,60,1,1,3,1,4,1,4,2,7,3,5,1,2,2,7,11,,,,30,300000,0,0,1,2,1,1,1,3,20,3,,2,5,4,,,,,,1,4,2,1,4,2,1,,1,1,4,12,,,,,,,,,,,,2,,9,,,,,,,,,,,,,1,6,,,,,,2,,5,,,,,,1,1,1,1,1,1,1,1,1,1,1.211757
1,1,1,6,16,2,5,0,99,99,99,99,4,5,2,6,4,3.0,0,3,1,2,1,3,2,,1,9,1,4,7,,13,1,9,,,,0,0,,,2,1,3,2,1,3,20,4,,2,3,,,,,,,1,3,2,2,,,,3,1,2,,,,,,,,,,,,,,,1,4,,,,,,,,,,,,,2,,,,,,,,1,1,,,,,,3,3,3,3,3,3,3,3,3,3,1.211757
1,1,1,6,2,1,1,20,0,30,0,5,3,3,2,4,2,25.0,0,4,4,3,1,4,3,2,1,5,3,1,7,8,12,5,7,,,,1,3500,,,4,4,3,2,2,,,,2,2,5,,,,,,,1,3,99,1,1,2,9,,1,1,4,,,,,,,,,,,,,3,,4,,,,,,,,,,,,,2,,,,,,,,1,1,,,,,,4,4,4,4,4,4,4,4,4,4,1.211757
1,1,1,6,2,1,1,30,0,20,0,10,3,3,2,4,2,40.0,0,4,3,6,1,4,2,3,1,4,1,5,2,4,12,5,11,,,,0,0,,,2,4,3,1,2,,,,2,1,2,3,4,5,,,,1,4,1,1,1,2,2,,1,1,4,5,12,,,,,,,,,,,3,,6,,,,,,,,,,,,,2,,,,,,,,1,5,,,,,,3,3,3,3,3,5,4,2,5,5,1.211757
1,1,1,6,2,1,1,30,0,30,0,30,1,1,1,13,2,170.0,8,3,7,9,1,8,3,1,5,6,3,5,7,4,6,5,11,,,,2,25000,0,0,1,1,2,1,2,,,,1,1,2,3,4,5,,,,1,1,3,1,1,2,1,,1,1,4,5,,,,,,,,,,,,2,,8,9,,,,,,,,,,,,1,1,,,,,,1,,3,5,,,,,4,3,2,4,1,1,1,2,2,3,1.211757
1,1,1,6,2,1,1,40,0,0,0,0,5,4,1,2,3,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,2,4,3,3,2,,,,2,2,,,,,,,,1,4,1,1,1,3,6,,1,1,2,12,,,,,,,,,,,,3,,3,9,11,,,,,,,,,,,2,,,,,,,,2,9,,,,,,3,3,3,3,3,2,2,2,2,2,1.211757
1,1,1,6,2,1,2,30,0,0,1,0,2,2,1,6,2,10.0,30,3,1,4,1,4,1,4,6,7,5,,6,7,2,6,5,,,,7,50000,4,15000,2,3,2,2,2,,,,9,2,3,5,4,,,,,1,3,2,1,1,,5,,1,2,,,,,,,,,,,,,,,5,4,6,11,,,,,,,,,,,2,,,,,,,,4,1,5,,,,,2,2,2,2,2,2,2,2,2,2,1.211757
1,1,1,6,2,1,3,30,99,99,99,99,2,3,2,3,2,0.0,2,3,1,5,1,8,4,5,1,6,1,5,4,,13,7,11,,,,,,0,0,2,3,2,3,2,,,,1,1,2,3,4,5,,,,1,2,1,1,1,3,2,,1,2,,,,,,,,,,,,,,,1,4,7,,,,,,,,,,,,2,,,,,,,,1,2,5,,,,,3,3,2,3,2,2,3,3,3,3,1.211757
1,1,1,6,2,1,3,50,1,0,1,0,2,4,4,5,2,52.0,0,4,2,1,4,3,2,1,5,1,6,3,2,7,6,5,7,,,,0,0,,,2,4,2,3,2,,,,2,2,5,,,,,,,1,4,1,1,1,2,5,,1,1,4,,,,,,,,,,,,,2,,99,,,,,,,,,,,,,2,,,,,,,,1,1,2,3,,,,2,2,2,2,3,3,3,3,3,2,1.211757
1,1,1,6,2,1,5,0,99,99,99,99,4,3,2,11,3,3.0,0,4,1,2,1,3,2,3,1,2,1,2,4,3,11,12,5,,,,0,0,,,4,4,3,3,2,,,,2,2,6,,,,,,,1,4,7,2,,,,12,1,2,,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,2,,,,,,,,1,1,,,,,,3,3,3,3,3,4,4,4,5,4,1.211757
1,1,1,6,2,1,6,30,0,30,0,30,4,3,4,2,3,40.0,0,5,5,6,1,3,1,2,1,5,5,1,2,7,15,1,11,,,,0,0,,,5,4,4,3,2,,,,2,2,,,,,,,,1,3,2,1,1,3,9,,1,1,4,,,,,,,,,,,,,3,,98,,,,,,,,,,,,,2,,,,,,,,1,2,,,,,,4,4,5,3,4,4,4,4,5,4,1.211757
1,1,1,6,2,1,7,30,99,99,99,99,9,3,4,5,2,4.0,0,4,2,4,8,9,1,5,8,1,5,4,1,6,2,12,14,,,,4,39600,,,4,5,2,2,2,,,,2,1,2,3,4,5,,,,1,5,9,1,1,4,1,,1,2,,,,,,,,,,,,,,,1,98,,,,,,,,,,,,,2,,,,,,,,1,8,,,,,,5,5,5,5,5,5,5,5,5,4,1.211757
1,1,1,6,4,1,1,0,0,30,0,0,2,4,1,4,1,30.0,0,3,5,7,7,8,1,4,5,9,3,1,5,3,2,12,5,,,,0,0,,,3,4,1,2,1,5,20,5,,5,,,,,,,,2,,,1,1,,1,,1,1,4,8,10,,,,,,,,,,,2,,10,,,,,,,,,,,,,2,,,,,,,,4,8,,,,,,3,3,3,3,3,3,3,3,3,3,1.143258
1,1,1,6,4,1,2,0,0,30,0,0,2,2,3,4,2,4.0,0,3,4,1,1,4,1,3,5,1,3,5,7,4,5,6,1,,,,99999,99999999,,,1,2,3,3,1,5,20,3,,2,,,,,,,,1,5,3,2,,,,99,1,2,,,,,,,,,,,,,,,9,99,,,,,,,,,,,,,2,,,,,,,,9,9,,,,,,3,3,2,3,3,4,4,4,4,3,1.143258
1,1,1,6,4,1,2,0,1,0,2,0,1,5,1,5,1,50.0,0,1,7,1,9,8,1,3,1,7,5,3,4,,6,2,,,,,0,0,,,2,5,3,2,1,5,20,1,,4,,,,,,,,1,2,3,1,1,2,1,,1,1,4,10,,,,,,,,,,,,3,,4,10,,,,,,,,,,,,2,,,,,,,,5,5,,,,,,3,2,3,4,2,4,3,3,2,4,1.143258
1,1,1,6,4,1,3,0,0,10,0,0,2,2,4,1,3,11.0,2,3,1,2,6,4,1,6,1,3,5,3,1,4,2,10,7,,,,6,54000,0,0,1,4,1,3,1,5,20,3,,2,4,,,,,,,1,2,2,1,3,1,2,,1,1,2,,,,,,,,,,,,,3,,99,,,,,,,,,,,,,1,4,,,,,,3,,2,4,5,,,,1,1,1,1,1,1,1,1,1,1,1.143258
1,1,1,6,4,1,3,0,0,30,0,0,2,4,2,13,1,10.0,0,5,1,2,8,1,1,2,1,8,5,6,4,,2,5,6,,,,0,0,,,4,4,2,3,1,5,20,4,,2,8,,,,,,,1,3,2,2,,,,4,1,2,,,,,,,,,,,,,,,1,4,,,,,,,,,,,,,2,,,,,,,,2,6,,,,,,1,1,2,3,2,2,3,3,3,3,1.143258
1,1,1,6,4,1,3,0,1,0,0,30,3,4,2,6,3,10.0,0,4,1,2,1,4,1,3,1,5,5,4,4,1,12,2,7,,,,4,40000,,,3,4,2,3,1,5,20,2,,1,2,4,5,,,,,1,4,1,1,1,3,1,,1,2,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,2,,,,,,,,1,1,,,,,,3,2,3,5,4,3,3,4,1,3,1.143258
1,1,1,6,4,1,3,0,1,0,1,30,2,1,1,6,2,25.0,3,2,1,3,9,4,2,1,7,6,5,1,7,4,12,9,11,,,,5,30000,0,0,1,3,1,2,1,5,20,2,,2,5,,,,,,,1,2,1,1,1,3,2,,1,2,,,,,,,,,,,,,,,2,12,13,,,,,,,,,,,,2,,,,,,,,2,6,,,,,,3,2,2,2,2,2,3,3,4,4,1.143258
1,1,1,6,4,1,4,0,0,10,0,0,3,4,4,2,1,3.0,0,5,2,1,1,2,1,2,7,5,3,1,3,7,2,11,6,,,,0,0,,,3,4,2,2,1,5,20,2,,2,8,,,,,,,2,,,1,1,2,1,,1,2,,,,,,,,,,,,,,,1,6,,,,,,,,,,,,,2,,,,,,,,1,1,,,,,,2,3,2,3,3,2,4,2,4,4,1.143258
1,1,1,6,4,1,4,0,0,20,0,30,2,5,2,13,2,10.0,15,4,10,3,10,1,1,4,5,1,5,4,1,5,15,12,2,,,,2,50000,1,400,2,4,1,2,1,5,20,4,,7,,,,,,,,1,4,3,1,1,2,1,,1,2,,,,,,,,,,,,,,,6,1,,,,,,,,,,,,,2,,,,,,,,2,3,,,,,,2,2,2,3,2,2,3,3,2,2,1.143258
1,1,1,6,4,1,4,0,0,30,1,0,1,3,99,,1,50.0,0,1,2,7,8,1,1,4,5,1,5,3,7,5,2,9,7,,,,0,0,,,2,5,4,5,1,5,20,2,,2,,,,,,,,1,3,99,1,1,,1,,1,1,2,5,,,,,,,,,,,,5,,99,,,,,,,,,,,,,2,,,,,,,,3,9,,,,,,5,1,1,1,1,5,5,5,5,1,1.143258
1,1,1,6,4,1,4,0,99,99,99,99,9,3,2,12,3,6.0,0,3,3,2,1,4,3,5,1,10,3,5,1,8,15,12,11,,,,14,20000,,,1,4,3,3,1,5,20,2,,2,,,,,,,,1,4,1,2,,,,13,1,1,4,,,,,,,,,,,,,3,,4,,,,,,,,,,,,,2,,,,,,,,1,5,,,,,,3,3,3,3,3,3,3,3,2,3,1.143258
1,1,1,6,4,1,4,28,0,25,0,15,1,2,6,3,2,21.0,1,4,7,1,8,9,1,3,1,5,5,3,7,1,7,5,9,,,,4,52000,0,0,1,3,2,3,1,5,20,2,,1,2,3,4,6,,,,1,1,3,1,1,2,2,,1,1,3,4,5,8,11,,,,,,,,,1,,4,6,7,9,11,,,,,,,,,2,,,,,,,,6,3,5,,,,,2,1,1,2,1,2,1,1,4,1,1.143258
1,1,1,6,4,1,5,0,0,0,0,0,5,3,6,2,3,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,3,5,2,5,1,5,20,4,,7,,,,,,,,1,5,99,2,,,,1,1,2,,,,,,,,,,,,,,,1,99,,,,,,,,,,,,,2,,,,,,,,1,9,,,,,,5,5,5,5,5,5,5,5,5,5,1.143258
1,1,1,6,4,1,5,10,0,30,0,30,3,4,1,6,4,20.0,0,1,9,3,7,8,1,3,5,9,4,3,3,4,2,12,14,,,,0,0,,,3,4,2,3,1,5,20,4,,1,2,3,4,5,,,,1,3,1,1,1,,1,,1,1,1,5,7,8,12,,,,,,,,,2,,98,,,,,,,,,,,,,2,,,,,,,,2,8,,,,,,3,1,3,3,3,4,4,4,5,3,1.143258
1,1,1,6,4,1,99,99,1,30,1,10,2,2,5,13,1,30.0,3,3,1,6,10,9,1,3,1,7,6,5,7,2,15,6,7,,,,0,0,0,0,4,4,1,1,1,5,20,2,,2,,,,,,,,1,2,3,2,,,,14,1,2,,,,,,,,,,,,,,,4,4,7,,,,,,,,,,,,2,,,,,,,,4,5,,,,,,2,2,2,2,2,2,2,2,2,2,1.143258
1,1,1,6,6,1,0,30,0,10,4,30,1,3,1,13,2,60.0,0,2,1,2,8,9,1,7,5,8,5,3,1,8,2,9,11,,,,15,195000,,,1,2,1,3,1,5,30,5,,1,2,3,4,6,,,,1,2,3,1,1,3,1,,1,1,2,4,5,6,7,8,12,,,,,,,3,,1,,,,,,,,,,,,,2,,,,,,,,4,3,5,,,,,3,3,3,4,5,5,5,5,1,1,1.208733
1,1,1,6,6,1,1,0,99,99,99,99,4,5,1,4,4,50.0,0,4,10,5,4,3,1,2,1,12,5,3,7,2,5,7,6,,,,0,0,,,1,5,1,1,1,5,30,5,,2,,,,,,,,1,4,2,1,1,,5,,1,1,3,4,5,8,12,,,,,,,,,3,,4,,,,,,,,,,,,,2,,,,,,,,1,5,,,,,,4,4,4,4,4,4,4,4,4,4,1.208733
1,1,1,6,6,1,3,0,0,30,1,0,2,1,4,3,2,50.0,0,2,1,4,1,8,1,2,5,8,3,5,1,6,5,6,12,,,,5,70000,,,1,1,1,1,1,5,30,2,,1,2,3,,,,,,1,2,2,2,,,,2,1,1,9,,,,,,,,,,,,,2,,3,9,,,,,,,,,,,,2,,,,,,,,4,1,,,,,,2,2,2,1,1,2,3,3,1,2,1.208733
1,1,1,6,6,1,3,0,2,0,1,0,1,4,99,,4,200.0,0,3,9,1,9,8,1,4,8,9,5,4,5,7,5,12,6,,,,1,27000,,,2,3,5,3,1,5,30,3,,2,4,,,,,,,1,1,9,1,1,,3,,1,1,3,4,5,6,8,,,,,,,,,3,,11,,,,,,,,,,,,,2,,,,,,,,6,9,,,,,,3,1,3,5,5,3,3,3,1,3,1.208733
1,1,1,6,6,1,3,0,99,99,99,99,3,5,4,11,3,27.0,0,4,1,2,1,2,2,4,1,2,1,2,7,5,1,6,13,,,,99999,99999999,,,1,2,1,1,1,5,30,5,,2,3,,,,,,,1,2,3,1,1,3,1,,1,1,1,4,,,,,,,,,,,,3,,1,,,,,,,,,,,,,2,,,,,,,,3,1,3,,,,,5,5,5,5,5,5,5,5,5,5,1.208733
1,1,1,6,6,1,3,30,99,99,99,99,4,5,4,2,3,7.0,0,3,1,2,1,4,1,4,5,6,3,4,7,2,5,2,11,,,,0,0,,,4,5,3,3,1,5,30,4,,3,,,,,,,,1,5,7,1,1,3,2,,1,2,,,,,,,,,,,,,,,1,7,,,,,,,,,,,,,2,,,,,,,,1,1,,,,,,4,4,4,5,4,4,5,4,4,4,1.208733
1,1,1,6,6,1,4,0,0,0,0,0,5,5,2,4,3,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,1,5,30,3,,9,,,,,,,,9,,,1,1,3,2,,1,1,8,,,,,,,,,,,,,9,,8,,,,,,,,,,,,,2,,,,,,,,1,2,,,,,,3,3,3,3,3,3,3,3,3,3,1.208733
1,1,1,6,6,1,4,0,1,0,1,0,2,2,1,3,2,30.0,0,2,5,1,8,4,1,2,5,1,3,1,3,7,11,5,12,,,,0,0,,,1,3,1,2,1,5,30,3,,4,5,,,,,,,1,3,2,1,1,2,5,,1,1,3,4,6,12,,,,,,,,,,2,,4,,,,,,,,,,,,,2,,,,,,,,2,9,,,,,,1,1,1,1,1,1,1,1,1,1,1.208733
1,1,1,6,6,1,4,0,1,0,1,0,2,4,2,3,2,32.0,0,4,1,4,1,9,1,2,7,6,1,3,7,,12,11,5,,,,0,0,,,1,5,1,1,1,5,30,2,,2,5,,,,,,,1,3,2,1,1,2,1,,1,2,,,,,,,,,,,,,,,1,4,12,,,,,,,,,,,,2,,,,,,,,1,2,,,,,,4,3,2,4,4,4,3,3,3,2,1.208733
1,1,1,6,6,1,4,0,1,0,2,0,2,2,2,4,1,50.0,5,3,7,9,4,8,1,4,3,1,5,3,1,5,5,6,12,,,,10,100000,5,50000,1,5,1,1,1,5,30,5,,1,2,3,4,6,,,,1,2,2,1,1,3,5,,1,1,1,2,4,11,,,,,,,,,,3,,2,4,5,7,9,,,,,,,,,2,,,,,,,,3,2,,,,,,1,1,1,1,1,1,1,1,1,1,1.208733
1,1,1,6,6,1,4,0,1,0,2,0,3,5,4,2,1,50.0,0,4,4,7,4,9,1,5,1,5,3,5,2,7,1,5,2,,,,0,0,,,1,4,1,2,1,5,30,3,,3,,,,,,,,1,4,1,1,1,3,5,,1,1,5,6,8,,,,,,,,,,,3,,13,,,,,,,,,,,,,2,,,,,,,,1,8,,,,,,3,3,3,3,3,3,3,3,3,3,1.208733
1,1,1,6,6,1,4,30,1,0,1,30,4,5,2,13,3,30.0,0,5,5,10,1,4,2,1,8,4,3,5,7,1,11,2,12,,,,3,27000,,,4,5,1,1,1,5,30,2,,2,3,4,5,6,,,,1,5,1,1,1,,5,,1,1,3,4,5,6,8,12,,,,,,,,2,,4,,,,,,,,,,,,,2,,,,,,,,1,1,,,,,,3,3,3,4,3,3,3,3,3,3,1.208733
1,1,1,6,6,1,5,15,0,20,0,0,3,4,2,4,3,30.0,0,5,2,3,1,4,1,,1,7,5,3,7,,2,12,5,,,,0,0,,,2,5,1,1,1,5,30,5,,1,2,3,5,6,,,,1,4,1,1,1,,5,,1,1,3,4,5,6,8,12,,,,,,,,4,,1,11,,,,,,,,,,,,2,,,,,,,,1,5,,,,,,3,3,4,5,4,5,4,4,4,3,1.208733
1,1,1,6,9,2,1,0,0,30,1,0,2,3,1,,1,144.0,0,2,1,3,3,8,1,8,5,10,6,5,8,7,9,2,14,,,,6,60000,,,1,3,2,2,1,5,10,2,,2,3,4,6,,,,,1,3,3,2,,,,12,1,1,1,2,4,5,,,,,,,,,,2,,5,7,8,9,10,,,,,,,,,2,,,,,,,,9,5,,,,,,1,1,1,1,1,1,1,1,1,1,1.143258
1,1,1,6,9,2,1,0,1,0,0,50,2,2,4,3,2,38.0,0,2,2,4,1,9,1,2,5,1,4,1,3,1,13,11,1,,,,3,17000,,,1,2,1,2,1,5,10,3,,2,,,,,,,,1,3,2,1,3,2,1,,1,2,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,2,,,,,,,,5,2,3,5,,,,1,2,3,1,1,1,3,1,3,1,1.143258
1,1,1,6,9,2,1,30,0,0,1,30,3,4,1,5,4,20.0,1,3,1,9,1,9,1,5,1,7,5,1,7,8,7,14,9,,,,2,25000,0,0,2,5,3,3,1,5,10,4,,2,4,5,,,,,,1,3,2,1,1,2,1,,1,1,4,5,,,,,,,,,,,,4,,6,,,,,,,,,,,,,2,,,,,,,,3,4,,,,,,2,3,4,4,4,4,4,3,3,4,1.143258
1,1,1,6,9,2,1,30,0,30,1,0,1,2,1,4,3,130.0,16,2,7,3,9,8,1,2,1,9,9,,99,,2,6,12,,,,3,26000,0,0,1,3,1,3,1,5,10,3,,1,2,3,4,,,,,1,2,2,1,1,,1,,1,2,,,,,,,,,,,,,,,4,6,,,,,,,,,,,,,2,,,,,,,,5,1,,,,,,3,3,2,3,3,3,3,2,2,2,1.143258
1,1,1,6,9,2,2,0,0,30,0,30,2,3,2,4,2,74.0,0,3,1,5,7,9,1,7,8,5,4,5,5,8,2,6,7,,,,3,28000,,,2,4,1,2,1,5,10,2,,1,2,3,4,5,,,,1,2,3,1,1,2,2,,1,1,1,4,5,7,,,,,,,,,,2,,7,9,11,8,12,,,,,,,,,2,,,,,,,,2,2,3,,,,,1,1,2,2,1,1,1,1,1,2,1.143258
1,1,1,6,9,2,2,0,0,30,1,0,3,5,1,2,2,48.0,0,4,5,2,1,7,1,4,1,9,3,5,5,7,2,5,6,,,,1,9900,,,2,4,2,3,1,5,10,5,,2,3,4,,,,,,1,4,1,1,1,2,2,,1,2,,,,,,,,,,,,,,,5,98,,,,,,,,,,,,,2,,,,,,,,5,8,,,,,,1,1,2,3,3,4,4,3,5,4,1.143258
1,1,1,6,9,2,2,0,1,0,0,30,1,2,7,13,2,36.0,0,3,8,4,9,6,1,6,1,3,3,5,1,6,2,8,11,,,,36,360000,,,2,3,3,2,2,,,,1,7,,,,,,,,1,2,3,1,1,2,1,,1,1,1,4,6,,,,,,,,,,,4,,6,,,,,,,,,,,,,2,,,,,,,,3,1,,,,,,2,2,1,2,1,2,2,2,3,1,1.143258
1,1,1,6,9,2,2,0,1,30,2,30,1,1,6,,1,300.0,0,3,3,10,9,4,1,4,1,7,5,6,1,4,5,6,10,,,,7,89000,,,5,4,2,3,1,5,10,3,,1,2,3,4,5,6,,,1,2,2,1,1,2,1,,1,2,,,,,,,,,,,,,,,4,1,4,11,,,,,,,,,,,2,,,,,,,,5,2,,,,,,3,2,3,4,3,3,3,3,2,4,1.143258
1,1,1,6,9,2,2,30,99,99,99,99,3,4,1,11,4,3.0,0,4,5,6,1,3,3,2,1,5,1,2,4,3,11,5,12,,,,0,0,,,2,4,2,2,1,5,10,2,,2,3,5,6,,,,,1,9,99,2,,,,2,1,2,,,,,,,,,,,,,,,1,99,,,,,,,,,,,,,2,,,,,,,,1,9,,,,,,4,4,4,4,4,3,4,4,4,4,1.143258
1,1,1,6,9,2,3,0,1,0,0,0,3,3,2,1,3,7.0,0,3,1,3,1,8,1,2,3,1,5,2,1,8,2,12,14,,,,99999,99999999,,,1,1,2,1,1,5,10,2,,1,2,4,5,6,,,,1,3,3,2,,,,13,1,2,,,,,,,,,,,,,,,1,1,11,,,,,,,,,,,,2,,,,,,,,1,1,,,,,,3,3,3,2,2,1,1,2,4,3,1.143258
1,1,1,6,9,2,3,0,1,0,1,0,2,1,1,2,2,60.0,0,2,1,4,1,9,1,2,8,3,5,2,1,2,11,6,2,,,,2,25000,,,3,9,2,2,1,5,10,3,,2,3,,,,,,,1,3,2,1,1,2,2,,1,2,,,,,,,,,,,,,,,3,8,,,,,,,,,,,,,2,,,,,,,,3,4,,,,,,4,3,2,3,3,4,3,3,1,3,1.143258
1,1,1,6,9,2,3,10,0,30,1,0,2,1,1,2,2,60.0,0,4,1,3,8,1,1,3,1,5,5,4,4,5,2,10,7,,,,0,0,,,4,4,2,1,1,5,10,1,,1,2,3,5,6,,,,1,2,2,1,1,3,2,,1,1,1,4,5,7,,,,,,,,,,1,,3,7,,,,,,,,,,,,2,,,,,,,,5,1,,,,,,1,3,3,4,1,1,4,4,3,1,1.143258
